,without_tag
794,"Katanya bogor ga ujan tp jakarta masih banjir, dan beberapa atau bahkan banyak orang ga sadar klo pintu air di jakarta udh banyak yg siaga , dr mana asalnya klo bkn dr bogor?"
795," Banjir kotanya bahagia warganya,Mantul!!!"
796, 
797,Banjir dibawah ini Anies harus dimintai pertanggungjawaban 
798,"Banjir di tol Cikampek, Anies  harus bertanggungjawab. "
799, Mudahn dengan hastag banjir jadi surut. Aamiin
800,Galau mau ke kantor naik apa karena kemang banjir pasti macet
801,Ekonomi lumpuh dampak banjir.
802, ude sepaha aje banjir nye
803,  ini pertama x banjir masuk ke dlm rumah apa ude yg kesekian kalinya? tinggi kah airnye?
804, banjir dong
805,Fokus banjir dulu 
806, Itu duit lbh baik utk kompensasi korban banjir dan perbaikan fasilitas publik pasca banjir
807," tolong kabarnya, apakah anda terendam banjir...... :’)"
808,"Asoyyy... skrg banjir kan, di hari selasa kaan, hari kerja kan, ada alasan buat libur kan, varoqaaah..  Qobulll  "
809,"Pulomas barat, dan pulomas utara airnya naik lagi, mereka kembali kebanjiran, tolong pompanya dinyalahkan pak, ini kali ke- banjir lagi sejak januari    "
810,   Ibukota ga akan banjir LG karena ibukotanya mau dipindahin.
811,"Guys, stay safe ya. Hindari daerah banjir"
812,"Kantor di Kemang. Jarak kantor-rumah cuma  km. Tapi akses jalan ke Kemang ditutup karena banjir. Muter lewat Pejaten, macetnya mungkin sampai habis lebaran "
813,B Cibis Nine banjir gue salahin anies apa pak imron
814,Lu ada denger toa yang bunyi menandakan kampung lu banjir kaga?
815,How to disable jakarta for a while:. Banjir. Blackout. Demo
816,Lekas air masuk ke tanah..banjir dimana 
817,"Sekarang saya juga kerja di Jakarta. Tapi Alhamdulillah engga kena dampak dari   Karena tempat tinggal ada di lantai , sedangkan ruangan kerja ada di lantai  dan ."
818,Semangat buat yang lagi kejebak   Semoga cepet surut dan bisa normal kembali.
819,"Guys ini banjir bukan cuma kesalahan pemerintah lho, tapi INI BUKTI NYATA KRISIS IKLIM. PADA MELEK DONG WOEY!"
820, pasar baru  
821,"Semoga yang terkena banjir, aman² saja. Yang ada kendala dijalan, diberi jalan alternatif ke tempat tujuan."
822, Pasar minggu 
823,"Jl. Rawajati Timur depan komplek BIN, tergenang plus antri di perlintasan kereta, mengakibatkan lalin tersendat  "
824,What the... road closurenya banyak banget   
825, banjir didepan RSU Kramat Jati. Sementara masih bisa dilalui kendaraan R dan R. 
826,Mantap betul hampir tiap hari banjir trus hufft 
827,Banjir deuiiiii
828,"Info barusan dikabarin (:). Kereta saya pagi ini, K, tidak bisa ke stasiun Tanah Abang. Karena di stasiun Sudirman katanya ada genangan. hanya sampai stasiun Manggarai. Siap siap ya berangkat kerja lebih awal"
829,Lanjut lagi hujannya menjelang subuh.. kayaknya banjir dimana ini..
830,"Dulu banjir siklusnya tahunan,  tahunan dsb.. eh sekarang seminggu bisa  kali.. masya Allah makin berat cobaan sebagai warga ibukota dan sekitarnya.."
831,libur banjir 
832,Dan terjadi lagi   
833, 
834, banjir lagi????
835,Saya bukan menyalahkan banjir karena bapak  akan tetapi. Lebih baik ada upaya dan penyelesaian nya. Saya ga mau tanah kelahiran saya tenggelam terus 
836,"Dear gubernur DKI Jakarta  Terimakasih telah bersusah payah membereskan jakarta. Tapi mohon di prioritaskan mengenai banjir, karena makin banyak orang yang terkena dampaknya."
837,Condet Hujan Deres Sederes Deresnya... Walau tanpa petir tapi kalo begini terus bisa Banjir...Jalanan udah tergenang air Cc    
838,"Jakarte hujan (lagi) , Jakarte banjir (lagi) warge Jakarte kudu siap - siap menghadapi banjir (lagi) *toa mana toa"
839,Jakarta Hujan (lagi) siap - siap warga Jakarta banjir (lagi)
840,KAMAR BOCORLAPERHAPE LOBETDUIT KAGAKDIKIT LAGI BANJIRYAH NAMANYA JUGA HIDUP
841,"Banjir kemaren di komplek rumah uwe taken by drone anak blok sebelah, keren juga kalo diliat air milonya banyak "
842,WAN TOA MANNA ?? Menkes Tinjau RSCM Usai Diterjang Banjir karena Hujan Deras         
843,"Ketuà DPRD DKIPrasetyo Kesal Kritik Pemprov DKI: Hujan Lokal Saja Banjir, Ini Bukan Kiriman!MosokKawasan Menteng, Jakarta tergenang banjir ?? (/).       "
844,WAN TOA MANNA ?? Menkes Tinjau RSCM Usai Diterjang Banjir karena Hujan Deras       
845,"Rute TransJakarta Terganggu karena genangan. Belum bisa pastikan kapan layanan akan pulih, yi. Koridor  rute Pulogadung Harmoni, Koridor  rute Tanjung Priok - PGC, dan Koridor  Tanjung Priok - Pluit.   "
846,"Minta Anies Tak ""Tenggelamkan"" Kelapa Gading, Warga Tuntut Dana Banjir Dikembalikan, ini sudah bukan banjir tahunan lagi,WARGA geram baru kali ini merasakan banjir datang berkali-kali.Warga beli Pompa Dan TOA Sendiri.  "
847,"Dinilai tdk Mampu Atasi Banjir!! Rapor Gubernur Anies Anjlok karena tdk mampu atasi persoalan banjir.Dan elektabilitas Anies turun menjadi ,% dari sebelumnya sebesar %.     "
848,"HARI HARI Warga Jakarta Terendam Banjir !Ruas Jalan Kemandoran tergenang air setinggi  cm, juga Monas, Ruas Jalan Protokol Medan Merdeka Timur, Gambir, Jakarta Minggu dini hari.    "
849,"Minta Anies Tak ""Tenggelamkan"" Kelapa Gading, Warga Tuntut Dana Banjir Dikembalikan, ini bukan banjir tahunan lagi,WARGA geram baru kali ini merasakan banjir datang ber kali.Warga beli Pompa Dan TOA Sendiri.   "
850,"Banjir Kelapa Gading: Warga Minta Pintu Air Dibuka, Anies Sabar Tunggu Air Laut Surut     "
851,"Banjir RSCM JakartA KELELEP, TOAA GAK Bunyi       "
852,"Gubernur Anies meninjau air di pintu manggarai pasca hujan, Sabtu malam (//).Menurut Anies, banjir di Ibu Kota Jakarta dapat dihilangkan dgn menunggu permukaan air laut surut.     "
853,"Anies: Drainase vertikal, Jika Air Hujan Masuk ke Tanah, Insyaallah Tak Ada Banjir.        "
854,"JakartA Banjir Ber Silit, kawasan Yg TIDAK pernah banjir skrg Kelelep ! Dear Pak   Sejak Bapak menjabat wilayah yang tidak pernah banjir, hari ini banjir RSCM, Mona's, DSawit    "
855,"DITANYA SOAL banjir ber silit, Wan TOA bilang ""Ayo main TIKTOK?JakartA tiap Hari Banjir, titik banjir Meroket Tik tok ... TIKTOK ...      "
856,"PSI DPRD DKI menilai Gub. Anies sama sekali tidak peduli soal banjir, Anies , tahun, program antisipasi banjir jalan di tempat. Kem PUPR tidak bisa jalankan normalisasi karena Pemprov DKI tidak mau bebaskan lahan. "
857,"Langganan Kelelep! Kembali Dilanda Banjir, Warga Bekasi Tuntut Pemerintah Cari Solusi.    "
858,"Kawasan Menteng Banjir !! TMC POLDA::  - cm di Jl. Surabaya, Jl. Cilacap, dan Jl. Pegangsaan Barat Jakarta Pusat, agar hati apabila sedang melintas.        "
859,Jalanan masih banjir tp ujannya ga reda dari semalem..
860,ginini perkara banjir hadeuhhhhhhhh gimana ni kalo mau tacap ngalis wkwkek
861, 
862,"Inget Besok SENIN.!!!!Malah jakarta Ujan mulu ni dari malam, kalau sampe Pagi masih Hujan besok pasti pada Kena Macet karena Banjir."
863,  Disana banjir belalang katanyah...
864, Berenang di banjir gitu hamil apa njir..
865,"Udah renang hari ini? Hati ya jangan lupa pakai pelindung.. Jakarta banjir lg ya karena hujan semalaman dan skrg juga masih hujan. Jadi bisa renang dimana, ngga ada tuh langit biru spt foto pencitraan gabener itu. Yg terkena banjir, sabar ya"
866,"Jakarta banjirnya parah bgt, hati buat yg lg di jalan. Baca berita ini membantu kamu mencari jalan. Ayo rame minta tanggung jwb gabener yg konsentrasinya ke formula E mulu sementara masalah banjir ngga ada solusinya. Sabar ya jd warga jkt, banjirnya udh terkenal sampai akhirat "
867,"Jakarta banjirnya parah bgt, ngga ada perbaikan sejak banjir awal thn malah makin merata &amp; kena tempat vital spt ini. Gabenernya malah sibuk urus Formula E mulu  "
868,Menjalani hidup yang mengalir aja seperti air ... Ya kalo lagi banjir gedebag gedebug kalo lagi tenang ya mending bubug (tidur)
869,Kemang banjirjagakarsa enggak 
870,"Saya rasa pak  belum pernah ngrasain capeknya bersih pasca  Setelah bersih rumah lanjut gotong royong bersih jalanan.Listrik padam air mati, makanan abis. Blm lagi banjir susulan. Capek lho pak."
871,"Pak  dipulomas, tahun ini sudah x airnya masuk kedalam rumah. Mohon dibenahi dg serius masalah banjir ini Pak. Sangat memprihatinkan.."
872,"Pak   dipulomas, tahun ini sudah x airnya masuk kedalam rumah. Mohon dibenahi dg serius masalah banjir ini Pak. Sangat memprihatinkan..   "
873,Td dini hari banjir lagi. Ini baru surut. Total x banjir. Alhamdulillah
874,"Sebulan udah berapa kali telat gegara gangguan commuter lah, banjir lah. Hmmm.......lama lama gw beli motor aja lah ini "
875,Emang ujan deres ya semalam? Kok berita banjir di mana-mana. Ku nggak kerasa kalo ujan saking nglintekke -_-
876,"wuaduh Debit air bendung Katulampa tinggi, wahai warga Jakarta waspada banjir lagi kiriman dari Bogor *toa mana toa"
877,Manna PKS ! Pemerintah Pastikan Banjir Bandang di Penajam Paser Utara Bukan Lokasi Ibu Kota Baru. Lokasi banjir jauh DARI Lokasi Ibukota.       
878,"Bandung Selatan akan Makin Sengsara, banjir etc. "
879,"HARI banjir ber Jilid ! Banjir di Rawajati KALIBATA,Capai  Meter, Warga Masih Bertahan di Rumah      "
880,"Banjir di Kebon Pala, Jakarta Timur. Hingga sore hari ini, banjir masih menggenangi permukiman warga, pukul . WIB, banjir setinggi  cm.      "
881,"Banjir di Jalan DI Panjaitan, Jakarta Timur tidak bisa dilintasi semua ranmor pukul . WIB, tinggi air mencapai - cm, Tebet, Cawang Terendam Banjir.     "
882,"Banjir di Jalan DI Panjaitan, Jakarta Timur tidak bisa dilintasi semua ranmor pukul . WIB.Tinggi air di Jalan DI Panjaitan mencapai - cm, Tebet, Cawang Terendam Banjir.     "
883,"Menurut Ketua Fraksi PKS DPRD DKI Jakarta M Arifin, Gabener Anies terbukti lebih baik ketimbang Ahok dalam menangani banjir di wilayah ibu kota.      "
884,"Banjir, Bahagia Warganya !!Anak-anak Rawajati Berenang di Ciliwung yang Meluap, Lurah Beri Imbauan.       "
885,"Kamis,  Feb  : WIB, BPBD DKI Jakarta ada  RW di Jakarta banjir. Lokasi paling tinggi terdapat di Cawang, dengan ketinggian  cm, tersebar di  kelurahan dan  kecamatan.     "
886,"Menurut Gerindra Taufik, kinerja Pemprov DKI di bawah Gabener Anies memang tidak lebih baik dari era Ahok. Terutama dalam hal penanganan banjir dan macet.     "
887,"PEKAES NGE HOAX ! Banjir melanda Desa Bukit Subur, Penajam Paser Utara, Kalimantan Timur. Mnrt Bappenas Suharso pastikan Desa Bukit Subur tidak dekat dengan lokasi ibu kota negara yang baru.     "
888,Manna PKS ! Pemerintah Pastikan Banjir Bandang di Penajam Paser Utara Bukan Lokasi Ibu Kota Baru.        
889,"Bandung Selatan akan Makin Sengsara, banjir etc. "
890,Manna PKS ! Pemerintah Pastikan Banjir Bandang di Penajam Paser Utara Bukan Lokasi Ibu Kota Baru.  
891,Sedahsyat itu hujan pagi ini sampe dimana udah pada banjir
892,"Duh, banjir lagi ya Jakarta."
893," ujan baru bentar, mana pencegahan   "
894,    njir ngakak bgt perihal banjir doang
895,Banjir. Sakit. Amburadul. Mager. Lengkap sudah hari ini.
896, Ih ni bot bawel amat dahHeran
897,  Mslh yg banjir dia bilang bercandaan atau apa gitu banyak yg ke triggered lupa si pastinya apa
898,"MANNA TOAAAA ! Banjir merendam wilayah RW , Kelurahan Cipinang Melayu, Jakarta Timur, Minggu (//) sore, di lokasi, banjir setinggi sekitar  sentimeter menggenang rumah-rumah warga RW .    "
899,    masalah banjir
900," Live Report !!!Kaga kena banjir sih, tp jalanan jd macet menuju jakarta.. Enakan mampir makan ketupat padang dulu yu..  "
901,Evakuasi Ibu &amp; bayinya. @ Kav.Rambutan Ciracas Jaktim 
902,"Whatever reason and wherever you go, please noted becomes as part of your journeyYang artinya: Bukan berarti akuh meninggalkan begitu saja Jakarta yang lagi banjir tapi akuh akan tetap bantu doa dari atas awan … "
903,Pengungsi banjir kemang utara IX 
904,"Menyebrangi banjir dengan ketinggian hingga se-kepala, kepala kontol.   "
905, Buka WA  
906,"maaf kalo terpaksa saya upload lagi, hanya sekedar ngasih ide aja.   "
907,   alhamdulillah yg banjir cuma jakarta ya non
908,   banjir bukan cuma jakarta tolol goblok alias togog dengerin siaran kompas  cebong pada subur kenapa gubernur laen luh gak hujat
909,    terimakasih semoga anda yg terhormat tidak kena banjir sep saya yg lemah
910,  kalo luh ga tau nih banjir bukan cuma jakarta togog 
911,Yang sering buang sampah sembarangan dilarang ngeluh kalo banjir. GARA GARA LO KITA SEMUA JADI SUSAH. 
912,"Baru juga viral tuh video yg bilang pak gub baik karna banjir cuma dtangnya pas hari libur,eh skrng hari kerja di kasih banjir,makanya ga boleh sombong pak di denger malaikat kan tuh akhirnya"
913,Udah was was takut banjir. Udah ngepack in barang diamanin. Tidur jam . Bangun jam . Sampe lupa punya laki harus kerja dia bablas aja tidur 
914,Yang rumahnya kena banjir awas hamil 
915,Kalau terus menerus begini jangan nyalahin orang lain dong tp harus mulai dari sendiri menjaga lingkungan seenggaknya ga pd buang sampah sembarang . Its simple 
916,"  Literasi kamu payah mas, jelas nama dan foto saya perempuan.Saya ngalamin banjir Jakarta sejak  mas, iya saya tahu dulu Jakarta sempet dirapihin, dan beberapa tempat spt di kali pesanggrahan ga banjir lagi. Karena dulu diurus.Ga usah dibelain, semua tahu skr itu mundur."
917, Susah ya nyari ngelesan kalo udah banjir besar  kali dalam  bulan?
918,"  Masalahnya banjirnya juga ngga berimbang mas. Kepikir ga lelahnya orang yang ngepel lumpur  kali dalam  bulan terakhir, padahal sudah bertahun ga pernah banjir. Di Jakarta, APBD terbesar. Pernah berasa diurus. Ya wajar marah luar biasa sekarang. Ohya, mereka orang biasa juga"
919,"Yg nyebarin mungkin menolak lupa, pak. Atau mo ngasitau sebaran banjir taun .Atau emang niat ngehoax "
920,"Vertical housing, yg dulu dicemooh karena ga napak, keknya bakal jd solusi buat rangorang yg uda bosen beberes rumah pas banjir"
921, Perasaan sdh bebas banjir.....sptnya tdk ada antisipasi
922,Jalanan ke kantor banjir nggak ya 
923, mhn info arah permata hijau dari joglo apakah ada kendala banjir
924,Jakarta ujan dikit banjir lemah
925, Doain jgn banjir lagi lah ye....lelah cuk
926,"Bangun tidur check hp rame bgt ngomongin banjir, gue si selow aja karena kosan w gak ada tanda banjir, eh taunya pas otw kantor pesanggarahan banjir dah dalem bgt "
927,"Yaaaa tempatnya gue si aman cuma aksesnya yang susah, dimana mana banjir"
928, 
929,Semoga banjir di kota ini cepet surut
930,"Mat mat, dibayar berapa ya lo ini ampe banjir aja harus disyukurin dan belain anies ampe matian gt. Udh buta bgt sm politik mah gini bgt ya. Gw sbg yg punya mantu betawi malu bgt liat statement kek gini.  "
931,"Tidak hanya Jakarta, Tangerang juga "
932,"Semoga  menjadi pelajaran penting bagi semua yg suka buang sampah dari dlm mobil ke jalan, dari rumah ke kali, dari motor ke jalanan, stay strong semua.. Semoga juga Allah memberikan jalan terbaik agar manusianya dapat intropeksi diri "
933,"Baru aja deh kmrinan liat di tipi katanya Alhamdulilah banjir di hari libur aja, etapi skrg hari selasa loh?! Eiaa brrti kalendernya tuh yg harus disalahkan karena tuh kalender belum solehh,,"
934,"Hikmah dr banjir.Ya lo ga kena banjir bang. Yang kena banjir berkali warga kecil, kasian was was ga nyenyak tidurnya. Tiap ujan udh begadang angkatin kasur, barang elektronik rusak. Lo mau ganti? "
935,Banjir merata sampai Cikunir 
936,Banjir merata sampai ke Bekasi 
937,Banjir merata sampai ke perumahan di Bekasi 
938,"Menghadapi kondisi banjir seperti ini, sebaiknya bersabar sambil berzikir "
939, Tendean mampang banjir bosss..
940,Bangsyattt ngakak dnk w Banjir bisa milih di weekend 
941,"Sesuai sunatullah, semoga A̶n̶i̶e̶s̶ ̶B̶a̶s̶w̶e̶d̶a̶n̶ air banjir segera dimasukkan ke dalam tanah. Amin ya Allah. Ketik netnot untuk ikutan amin."
942,Jam segini udah banyak titik jalanan yang gak bisa dilewatin karena banjir. Selamat berakhir pekan lebih awal.  
943,Dibalik kata BANJIR tersirat kata ANJIR.... atau kalo ga singkatan BAngs*t NJIR.... 
944," HUJAN dari LANGIT, pejabat cuek saja tdk PINTER kelola BANJIR, HUKUM KARMA buruk"
945," NIKMATI banjir, BERSYUKUR"
946,Banjir kok hampir tiap minggu. Sebangsat-bangsatnya Gubernur lah ini emang.
947,"Gak sempet videoin saking paniknya kejebak di tengah banjir cuma bisa doa doang biar mesin gak mati di tengah..... Motor lewat banyak yang mati mesin. Ada sedan tahun an mati di tengah jalan, kasian liatnya...."
948,"""dARi duLU jAKaRta jUgA bAnJiR kALi""."
949,Ngentot emang nih orang kerjaannya cuma bisa nge-like postingan Persija doang. Disuruh nanggulangin banjir juga clueless. 
950," Wahh iya mba makasih infonya, barusan diinfoin banjir"
951,"Info dong ,Jl Boulevard Barat Raya Kelapa Gading  gak ya?"
952," Kemaren sombong si lu gua bilang banjir apa engga, jawabnya wess engga dong "
953," Bisa sih masuk Dr H.Ridi keluar Gg.Halimah, cuma kalo ke arah Kebayoran kayaknya seskoal jg banjir..Kali Padang juga udh gak bisa lewat katanya"
954,"Jalan Swadarma Raya, Ulujami, JakSel banjiiirrr gaeess..kendaraan gak bisa melintas...   "
955,"Banjiiirrrrr di Pondok Baru, Pesanggrahan JakSel  "
956,"Rumah mertua di Pondok Baru, Pesanggrahan JakSel udh pake perahu karet aja depan rumah..kebayang di Swadarma BNI banjirnya jg tinggi ini sih, kalinya masih  jalur..   "
957,PMI Karawang bantu evakuasi warga terdampak banjir ke tempat yg lebih aman dan pengungsian.Cc                
958,"Banjir di Kab Karawang menyebabkan  KK/. jiwa terdampak,  rumah terendam dengan Tinggi Muka Air (TMA)  -  cm. Info PMI Kab. Karawang bersama BPBD, Tagana, TNI/Polri dan lainnya bantu evakuasi warga terdampak banjir.Cc   "
959,"Sebanyak  desa di  kec di Karawang, Jawa Barat, terendam banjir akibat hujan deras yang mengguyur kota ini sejak kemarin. ""Ketinggian  cm hingga satu meter,"" kata BPBD Karawang, Minggu (//).PMI Kab. Karawang, BPBD, Tagana, TNI/Polri bantu warga terdampak banjir. "
960,Akibat cuaca ekstrem di wilayah kab lombok timur sejak beberapa hari terakhir mengakibatkan terjadinya banjir bandang d dusun melempo desa obel-obel kec sambelia pada pukul . wita.PMI Lombok Timur bersama BPBD dan lainnya membantu warga terdampak. Cc    
961,"Sebanyak  (KK) /  jiwa terpaksa mengungsi akibat banjir bandang yang melanda Dusun Melempo, Desa Obel-Obel, Keca Sambelia, Lombok Timur, NTB pada Minggu (//) PMI Lombok Timur, Bersama Basarnas, BPBD, TNI/Polri dan lainnya bantu warga terdampak. Cc  "
962,"Proses evakuasi warga terdampak banjir terus dilakukan oleh tim rescue satgana PMI Kota Jakarta Timur di wilayah Kel Rawa Terate, Kec. Cakung Timur, Jakarta Timur, Minggu, (/) Cc         "
963,"PMI Karawang bersama BPBD, Tagana, TNI/Polri dan lainnya mendirikan dapur umum nagi warga terdampak banjir di tempat pengungsian. Cc             "
964,"Dilanda hujan deras, PMI Manokwari, BPBD, TNI/Polri bantu warga terdampak banjirBanjir di Kab. Monokwari, Prov. Papua Barat.±  KK/. Jiwa terdampak±  unit rumah terendam info PusdalopsBNPBCc        "
965,Banjir merata sampai Tol Cikampek 
966,Banjir merata sampai Bekasi 
967,Banjir merata sampai Bekasi 
968,Ulujami juga  ... Semoga cepat surut ya  
969,Berenti dong mau kerja nihh... paling males kalo berangkat kerja ujan terus banjir depan kantor! Huhft
970," di komp.Sangrila Indah,Pet.Selatan,Pesanggrahan,Jaksel     "
971,Setiap malem mau tidur ga tenang.... Takut BANJIR  ...
972,    kalo tidak bisa negur dprd nya mundur kan cuma dki yg banjir di seluruh Indonesia ga banjir
973, Kaga kode oiii Banjir lagi gaa yos?
974, Demi apaaa si dit banjir lagi?
975,waw hujan.sebenernya senggang banget hari w belakangan ini tapi yah... kalo jalanan macet dmn karena banjir kan yah gimana yah... 
976, Banjir teguran dari TUHAN utk intropeksi
977,"  Kalou saya alhamdulillah  tahun tinggal di ulujami pesanggrahan jaksel gapernah banjir mas, ga nyampe rumah"
978,Sebagian berita banjir Jakarta  bulan ke belakang: Jan:  Jan:  Jan:  Feb:  Feb:  Feb:  Feb: 
979,"Update (//) pkl . WIB Pencarian laka sungai Siswa SMP N  Turi giat susur sungai sempor akibat banjirMeninggal Dunia  orang,Luka-luka  orang,  orang selamat. Operasi Pencarian SAR Gabungan (Basarnas, PMI, BPBD, TNI/Polri dan unsur lainnya) selesai "
980,"Update pkl . WIB Pencarian Siswa SMP N  Turi giat susur sungai sempor akibat banjirMeninggal Dunia tercatat  orang,Luka-luka  orang,Belum terkonfirmasi  orang,  siswa selamatOperasi Pencarian dilakukan oleh SAR Gabungan (Basarnas, PMI, BPBD, TNI/Polri dan lainnya) "
981,Sampe keba lg banjir mah. Fix pindah rumah lg. Alhamdulilah tp engga. Wkwk.
982,"Kalok banjir di jakarta diibaratkan ngegym, ada peningkatan durasi..brarti ada progres ke arah lebih.........BASAH!Dari setaun skali, limatahunan, fakum, setaun sekali, setahun x,  bulan skali, sebulan x, seminggu x..Sebulan lagi jadi sih ini otot² "
983, Macet pasti karena banjir
984,Utk banjir didaerahku cilincing (kesatriaan) dah anti banjir.
985,"Ini bukan banjir, hanya air yang menggenang saja. Mereka lagi ngantri ubtuk bermuara kok. Tenang  "
986,"Kegaduhan kontroversial nampaknya sengaja diciptakan silih berganti. Baru saja agak redah munculnya isu Agama Musuh Pancasila yg dilontarkan Kepala BPIP,  skrg dilontarkan isu baru Ahok paling berhasil tangani banjir Jakarta dgn responden  provinsi. Sasarannya apa ya? "
987,"Pasca  dan  di Perumahan Pondok Tirta Mandala, Kel Sukamaju, Kec Cilodong, Minggu (//) Satgana PMI Kota Depok bantu warga membersihkan sisa material lumpur dan sampah. Cc         "
988,"Sistem? Mana hasil assessmen banjir jan  berapa ketinggian air di berbagai wilayah, dari data tsb bisa dilihat kebutuhan pompa , dan bagaimana drainase kota yang sudah usang ? Apakabar APBD DKI?    sistem toa ? "
989,Kamu datang tanpa permisi~  
990,"Gk banjir sih,, tapi mati lampu dan mati aer... Ya udh lah TIDUR LAGIII"
991,"Jl. Garnisun banjir gaes, kayak kolam ikan. kali semanggi juga meluap, begini lah dampaknya    "
992,"Banjir, Alhamdulillah surut sangat cepat..."
993,Keseruan anak berenang di genangan air yg sedang antrian masuk tanah       
994,"Hujan lebat yang terjadi hingaa pagi ini mengakibatkan banjir di Perumahan Pondok Maharta, Pondok Kacang, Pondok Aren, Tangerang Selatan..Video by :RG ..   "
995,"Hujan lebat yang terjadi hingaa pagi ini mengakibatkan banjir di Perumahan Pondok Maharta, Pondok Kacang, Pondok Aren, Tangerang Selatan..Send video by :..    "
996,Terima kasih untuk Ayah tanpa lelah menggendong si anak yg tetap ingin sekolah. Tetap sepmangat  ke sekolah walaupun terhalang Banjir di Komplek Pondok Maharta! So sweet ...from… 
997,Semua banjir ini salahnya Jan Pieterzoen Coen. 
998,Banjir di depan Graha Taman Bintaro Sektor .. Waspada Kabiners......           
999,"Tahukah kamu motor listrik yang lewati banjir ternyata gak masalah loh…Rendaman banjir ternyata tidak mengganggu kinerja dari motor listrik. Sistem penggerak motor listrik terdiri dari baterai, dinamo, dan… "
1000,"Setelah skuter kamu melewati genangan air atau terendam banjir, segera periksa beberapa komponen untuk memastikan air tidak masuk ke komponen tersebut ya sobat Toda…Ada  komponen yang wajib dicek setelah kena… "
